"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Controllers\AuthController.cs", "C#", 43, 0, 0, 0, 0, 5, 48
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Controllers\CategoryController.cs", "C#", 79, 0, 0, 0, 0, 9, 88
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Controllers\OrderController.cs", "C#", 66, 0, 0, 0, 0, 8, 74
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Controllers\ProductController.cs", "C#", 127, 0, 0, 0, 0, 15, 142
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Controllers\ShoppingCartItemController.cs", "C#", 96, 0, 0, 0, 0, 12, 108
"d:\GaezBakeryHouse\GaezBakeryHouse.API\GaezBakeryHouse.API.csproj", "XML", 0, 0, 20, 0, 0, 5, 25
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Program.cs", "C#", 46, 0, 0, 0, 1, 5, 52
"d:\GaezBakeryHouse\GaezBakeryHouse.API\Properties\launchSettings.json", "JSON", 0, 0, 0, 37, 0, 1, 38
"d:\GaezBakeryHouse\GaezBakeryHouse.API\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 1, 9
"d:\GaezBakeryHouse\GaezBakeryHouse.API\appsettings.json", "JSON", 0, 0, 0, 18, 0, 1, 19
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App.Android\GaezBakeryHouse.App.Android.csproj", "XML", 0, 0, 145, 0, 0, 0, 145
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App.Android\MainActivity.cs", "C#", 28, 0, 0, 0, 0, 3, 31
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App.Android\Properties\AndroidManifest.xml", "XML", 0, 0, 6, 0, 0, 1, 7
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App.Android\Properties\AssemblyInfo.cs", "C#", 17, 0, 0, 0, 10, 4, 31
